Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Opinions from the epicenter: an online survey of university students in Wuhan amidst the COVID-19 outbreak1,"Yang, Huan; Bin, Peng; He, Alex Jingwei",,2020,,Journal of Chinese Governance,,,Jan-15,,10.1080/23812346.2020.1745411,45207,#42094,Yang 2020,,,42094,09-04-20
In-silico homology assisted identification of inhibitor of RNA binding against 2019-nCoV N-protein (N terminal domain),"Sarma, Phulen; Sekhar, Nishant; Prajapat, Manisha; Avti, Pramod; Kaur, Hardeep; Kumar, Subodh; Singh, Sanjay; Kumar, Harish; Prakash, Ajay; Dhibar, Deba Prasad; Medhi, Bikash","The N terminal domain (NTD) of Nucleocapsid protein (N protein) of coronavirus (CoV) binds to the viral (+) sense RNA and results in CoV ribonucleoprotien (CoV RNP) complex, essential for the virus replication. In this study, the RNA-binding N terminal domain (NTD) of the N protein was targeted for the identification of possible inhibitors of RNA binding. Two NTD structures of N proteins were selected (2OFZ and 1SSK, 92% homology) for virtual screening of 56,079 compounds from Asinex and Maybridge library to identify top 15 hits for each of the targets based on ""docking score"". These top-hits were further screened for MM-GBSA binding free energy, pharmacokinetic properties (QikProp) and drug-likeness (SwissADME) and subjected to molecular dynamics (MD) studies. Two suitable binders (ZINC00003118440 and ZINC0000146942) against the target 2OFZ were identified. ZINC00003118440 is a theophylline derivative under the drug class 'bronchodilEtors' and further screening with approved bronchodilators was also studied to identify their ability to bind to the RNA binding region on the N protein. The other identified top hit is ZINC0000146942, which is a 3,4dihydropyrimidone class molecule. Hence this study suggests two important class of compounds, theophylline and pyrimidone derivaties as possible inhibitors of RNA binding to the N terminal domain of N protein of coronavirus, thus opening new avenues for in vitro validations.",2020,,Journal of biomolecular structure & dynamics,,,01-Nov,,10.1080/07391102.2020.1753580,45115,#42095,Sarma 2020,,,42095,09-04-20
Targeting SARS-CoV-2: A Systematic Drug Repurposing Approach to Identify Promising Inhibitors Against 3C-like Proteinase and 2'-O-RiboseMethyltransferase,"Khan, Rameez Jabeer; Jha, Rajat Kumar; Amera, GizachewMuluneh; Jain, Monika; Singh, Ekampreet; Pathak, Amita; Singh, Rashmi Prabha; Muthukumaran, Jayaraman; Singh, Amit Kumar","The recent pandemic associated with SARS-CoV-2, a virus of the Coronaviridae family, has resulted in an unprecedented number of infected people. The highly contagious nature of this virus makes it imperative for us to identify promising inhibitors from pre-existing antiviral drugs. Two druggable targets, namely 3C-like proteinase (3CLpro) and 2'-O-ribose methyltransferase (2'-O-MTase) were selected in this study due to their indispensable nature in the viral life cycle. 3CLpro is a cysteine protease responsible for the proteolysis of replicase polyproteins resulting in the formation of various functional proteins, whereas 2'-O-MTase methylates the ribose 2'-O position of the first and second nucleotide of viral mRNA, which sequesters it from the host immune system. The selected drug target proteins were screened against an in-house library of 123 antiviral drugs. Two promising drug molecules were identified for each protein based on their estimated free energy of binding (ΔG), the orientation of drug molecules in the active site and the interacting residues. The selected protein-drug complexes were then subjected to MD simulation, which consists of various structural parameters to equivalently reflect their physiological state. From the virtual screening results, two drug molecules were selected for each drug target protein [Paritaprevir (ΔG= -9.8 kcal/mol) &Raltegravir (ΔG= -7.8 kcal/mol) for 3CLpro and Dolutegravir (ΔG= -9.4 kcal/mol) and Bictegravir (ΔG= -8.4 kcal/mol) for 2'-OMTase]. After the extensive computational analysis, we proposed that Raltegravir, Paritaprevir, Bictegravir and Dolutegravir are excellent lead candidates for these crucial proteins and they could become potential therapeutic drugs against SARS-CoV-2.",2020,,Journal of biomolecular structure & dynamics,,,Jan-40,,10.1080/07391102.2020.1753577,45114,#42096,Khan 2020,,,42096,09-04-20
Sudden and Complete Olfactory Loss Function as a Possible Symptom of COVID-19,"Eliezer, Michael; Hautefort, Charlotte; Hamel, Anne-Laure; Verillaud, Benjamin; Herman, Philippe; Houdart, Emmanuel; Eloit, Corinne",,2020,,JAMA Otolaryngology–Head & Neck Surgery,,,,,10.1001/jamaoto.2020.0832,45192,#42097,Eliezer 2020,,,42097,09-04-20
End-stage Heart Failure with COVID-19: Strong Evidence of Myocardial Injury by 2019-nCoV,"Dong, Nianguo; Cai, Jie; Zhou, Ying; Liu, Junwei; Li, Fei",,2020,,JACC. Heart failure,,,,,10.1016/j.jchf.2020.04.001,45153,#42098,Dong 2020,,,42098,09-04-20
"Development of a Novel, Genome Subtraction-Derived, SARS-CoV-2-Specific COVID-19-nsp2 Real-Time RT-PCR Assay and Its Evaluation Using Clinical Specimens","Yip, Cyril Chik-Yan; Ho, Chi-Chun; Chan, Jasper Fuk-Woo; To, Kelvin Kai-Wang; Chan, Helen Shuk-Ying; Wong, Sally Cheuk-Ying; Leung, Kit-Hang; Fung, Agnes Yim-Fong; Ng, Anthony Chin-Ki; Zou, Zijiao; Tam, Anthony Raymond; Chung, Tom Wai-Hin; Chan, Kwok-Hung; Hung, Ivan Fan-Ngai; Cheng, Vincent Chi-Chung; Tsang, Owen Tak-Yin; Tsui, Stephen Kwok Wing; Yuen, Kwok-Yung","The pandemic novel coronavirus infection, Coronavirus Disease 2019 (COVID-19), has affected at least 190 countries or territories, with 465,915 confirmed cases and 21,031 deaths. In a containment-based strategy, rapid, sensitive and specific testing is important in epidemiological control and clinical management. Using 96 SARS-CoV-2 and 104 non-SARS-CoV-2 coronavirus genomes and our in-house program, GolayMetaMiner, four specific regions longer than 50 nucleotides in the SARS-CoV-2 genome were identified. Primers were designed to target the longest and previously untargeted nsp2 region and optimized as a probe-free real-time reverse transcription-polymerase chain reaction (RT-PCR) assay. The new COVID-19-nsp2 assay had a limit of detection (LOD) of 1.8 TCID50/mL and did not amplify other human-pathogenic coronaviruses and respiratory viruses. Assay reproducibility in terms of cycle threshold (Cp) values was satisfactory, with the total imprecision (% CV) values well below 5%. Evaluation of the new assay using 59 clinical specimens from 14 confirmed cases showed 100% concordance with our previously developed COVID-19-RdRp/Hel reference assay. A rapid, sensitive, SARS-CoV-2-specific real-time RT-PCR assay, COVID-19-nsp2, was developed.",2020,,"International Journal of Molecular Sciences 2020, Vol. 21, Page 2574",21,7,2574-2574,,10.3390/IJMS21072574,45239,#42099,Yip 2020,,,42099,09-04-20
"Spatio-Temporal Patterns of the 2019-nCoV Epidemic at the County Level in Hubei Province, China","Yang, Wentao; Deng, Min; Li, Chaokui; Huang, Jincai","Understanding the spatio-temporal characteristics or patterns of the 2019 novel coronavirus (2019-nCoV) epidemic is critical in effectively preventing and controlling this epidemic. However, no research analyzed the spatial dependency and temporal dynamics of 2019-nCoV. Consequently, this research aims to detect the spatio-temporal patterns of the 2019-nCoV epidemic using spatio-temporal analysis methods at the county level in Hubei province. The Mann&ndash;Kendall and Pettitt methods were used to identify the temporal trends and abrupt changes in the time series of daily new confirmed cases, respectively. The local Moran&rsquo;s I index was applied to uncover the spatial patterns of the incidence rate, including spatial clusters and outliers. On the basis of the data from January 26 to February 11, 2020, we found that there were 11 areas with different types of temporal patterns of daily new confirmed cases. The pattern characterized by an increasing trend and abrupt change is mainly attributed to the improvement in the ability to diagnose the disease. Spatial clusters with high incidence rates during the period were concentrated in Wuhan Metropolitan Area due to the high intensity of spatial interaction of the population. Therefore, enhancing the ability to diagnose the disease and controlling the movement of the population can be confirmed as effective measures to prevent and control the regional outbreak of the epidemic.",2020,,"International Journal of Environmental Research and Public Health 2020, Vol. 17, Page 2563",17,7,2563-2563,,10.3390/IJERPH17072563,45240,#42100,Yang 2020,,,42100,09-04-20
The Need for an Evidence-Based Encyclopaedia in Health Services Research in Pharmacy,"Babar, Zaheer-Ud-Din","Pharmacy practice research (PPR) is a specialty field within the wider area of health services research and it focuses on studies of how and why people access pharmacy services. This stream of research is also referred to as more universally recognized term such as health services research in pharmacy. The health services research in pharmacy has increased manifold; however, the impact of this research is not visible at the global level. The editorial explains several issues on quality and quantity of evidence produced including how evidence produced could contribute to improve quality of care and patients&rsquo; health outcomes. It also narrates examples from the UK and Australia showing how health services research in pharmacy has made an impact on healthcare service delivery. The editorial argues that building an encyclopaedia in health services research in pharmacy is vital to enhance the visibility and impact of this research.",2020,,"International Journal of Environmental Research and Public Health 2020, Vol. 17, Page 2549",17,7,2549-2549,,10.3390/IJERPH17072549,45236,#42101,Babar 2020,,,42101,09-04-20
"COVID-19: Risk Groups, Mechanistic Insights, and Challenges","Stein, Richard","As Dr. Thomson eloquently notes in his valuable letter [1], underlying respiratory diseases appear to be less of a risk factor for poor outcome in COVID-19 patients than either underlying cardiovascular disease or diabetes. This intriguing finding emerged from several studies that examined underlying medical conditions in COVID-19 patients.",2020,,International journal of clinical practice,,,e13512-e13512,,10.1111/ijcp.13512,45129,#42102,Stein 2020,,,42102,09-04-20
Pneumonia Without Respiratory Symptoms,"Ishikawa, Kazuhiro; Uehara, Yuki; Matsuo, Takahiro; Mori, Nobuyoshi",,2020,,Internal Medicine,,,4639-20,,10.2169/internalmedicine.4639-20,45162,#42103,Ishikawa 2020,,,42103,09-04-20
Coronavirus: Update Related to the Current Outbreak of COVID-19,"Gabutti, Giovanni; d’Anchera, Erica; Sandri, Federica; Savio, Marta; Stefanati, Armando","In December 2019, some cases of viral pneumonia were epidemiologically related to a new coronavirus in the province of Hubei, China. Subsequently, there has been an increase in infections attributable to this virus throughout China and worldwide. The World Health Organization (WHO) has officially named the infection coronavirus disease 2019 (COVID-19), and the virus has been classified as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). This appears to be a virus from Rhinolophus bats, but the intermediate host has not yet been identified. The mechanism of infection of SARS-CoV-2 is not yet known; it appears to have affinity for cells located in the lower airways, where it replicates. The interhuman transmission of coronaviruses mainly occurs through saliva droplets and direct and indirect contact via surfaces. As of March 10, 2020, the number of cases worldwide was 113,702. Along with severe acute respiratory syndrome (SARS) and Middle Eastern respiratory syndrome (MERS), COVID-19 appears to cause a severe clinical picture in humans, ranging from mild malaise to death by sepsis/acute respiratory distress syndrome. The prognosis is worse in elderly patients with comorbidities. To date, there is no specific therapy for COVID-19. Prevention of SARS-CoV-2 infection implies strategies that limit the spread of the virus. WHO and other international and national bodies have developed continuously updated strategic objectives and provisions to contain the spread of the virus and infection.",2020,,Infectious Diseases and Therapy,,,Jan-13,,10.1007/s40121-020-00295-5,45219,#42106,Gabutti 2020,,,42106,09-04-20
Safety first - assisted human reproduction second,"Lambalk, C. B.; van Wely, M.; Kirkegaard, K.; Williams, A. C.; de Geyter, C.",,2020,,Human Reproduction,,,,,10.1093/humrep/deaa075,45088,#42111,Lambalk 2020,,,42111,09-04-20
COVID-19: the perspective of Italian embryologists managing the IVF laboratory in pandemic emergency,"De Santis, Lucia; Anastasi, Attilio; Cimadomo, Danilo; Klinger, Francesca Gioia; Licata, Emanuele; Pisaturo, Valerio; Sosa Fernandez, Laura; Scarica, Catello",,2020,,Human Reproduction,,,,,10.1093/humrep/deaa074,45091,#42112,DeSantis 2020,,,42112,09-04-20
COVID-19 and Kawasaki Disease: Novel Virus and Novel Case,"Jones, Veena G.; Mills, Marcos; Suarez, Dominique; Hogan, Catherine A.; Yeh, Debra; Bradley Segal, J.; Nguyen, Elizabeth L.; Barsh, Gabrielle R.; Maskatia, Shiraz; Mathew, Roshni",,2020,,Hospital pediatrics,,,,,10.1542/hpeds.2020-0123,45147,#42113,Jones 2020,,,42113,09-04-20
Liver transplantation and COVID-19 (Coronavirus) infection: guidelines of the liver transplant Society of India (LTSI),"Saigal, Sanjiv; Gupta, Subash; Sudhindran, S.; Goyal, Neerav; Rastogi, Amit; Jacob, Mathew; Raja, Kaiser; Ramamurthy, Anand; Asthana, Sonal; Dhiman, R. K.; Singh, Balbir; Perumalla, Rajasekhar; Malik, Ashish; Shanmugham, Naresh; Soin, Arvinder Singh","The Liver Transplant Society of India (LTSI) has come up with guidelines for transplant centres across the country to deal with liver transplantation during this evolving pandemic of COVID-19 infection. The guidelines are applicable to both deceased donor as well as living donor liver transplants. In view of the rapidly changing situation of COVID-19 infection in India and worldwide, these guidelines will need to be updated according to the emerging data.",2020,,Hepatology International,,,01-Mar,,10.1007/s12072-020-10041-1,45215,#42114,Saigal 2020,,,42114,09-04-20
Preparing Medical Students for Global Challenges Beyond COVID-19,"Dawidziuk, Aleksander; Gandhewar, Rishikesh",,2020,,Health Science Reports,n/a,n/a,e162-e162,,10.1002/hsr2.162,45182,#42115,Dawidziuk 2020,,,42115,09-04-20
Migraine in the Time of COVID-19,"Silvestro, Marcello; Tessitore, Alessandro; Tedeschi, Gioacchino; Russo, Antonio",,2020,,Headache: The Journal of Head and Face Pain,n/a,n/a,,,10.1111/head.13803,45172,#42116,Silvestro 2020,,,42116,09-04-20
The Lebanese Society of Medical Oncology (LSMO) statement on the care of patients with cancer during the COVID-19 pandemic,"Bitar, Nizar; Kattan, Joseph; Kourie, Hampig Raphael; Mukherji, Deborah; Saghir, Nagi El",,2020,,"Future oncology (London, England)",,,,,10.2217/fon-2020-0252,45118,#42117,Bitar 2020,,,42117,09-04-20
Survey of ophthalmology practitioners in A&E on current COVID-19 guidance at three Major UK Eye Hospitals,"Minocha, Amal; Sim, Sing Yue; Than, Jonathan; Vakros, Georgios",,2020,,"Eye (London, England)",,,,,10.1038/s41433-020-0857-5,45141,#42118,Minocha 2020,,,42118,09-04-20
A review of antibody-based therapeutics targeting G protein-coupled receptors: an update,"Hutchings, Catherine J.",,2020,,Expert Opinion on Biological Therapy,,,01-Nov,,10.1080/14712598.2020.1745770,45206,#42119,Hutchings 2020,,,42119,09-04-20
Early consensus management for non-ICU ARF SARS-CoV-2 emergency in Italy: from ward to trenches,"Vitacca, Michele; Nava, Stefano; Santus, Pierachille; Harari, Sergio",,2020,,The European respiratory journal,,,,,10.1183/13993003.00632-2020,45146,#42120,Vitacca 2020,,,42120,09-04-20
Current Status of Cell-Based Therapies for Respiratory Virus Infections: Applicability to COVID-19,"Khoury, Maroun; Cuenca, Jimena; Cruz, Fernanda F.; Figueroa, Fernando E.; Rocco, Patricia R. M.; Weiss, Daniel J.","Severe respiratory consequences of the COVID-19 pandemic have prompted urgent need for novel therapies. Cell-based approaches, primarily using mesenchymal stem (stromal) cells (MSCs), have demonstrated safety and possible efficacy in patients with the acute respiratory distress syndrome (ARDS), although not as yet well studied in respiratory virus-induced ARDS. Limited pre-clinical data suggest that systemic MSC administration can significantly reduce respiratory virus (Influenza strains H5N1 and H9N2)-induced lung injury, however, there are no available data in models of coronavirus respiratory infection.There are a rapidly increasing number of clinical investigations of cell-based therapy approaches for COVID-19. These utilise a range of different cell sources, doses, dosing strategies, and targeted patient populations. To provide a rationale strategy to maximise potential therapeutic use, it is critically important to understand the relevant pre-clinical studies and postulated mechanisms of MSC actions in respiratory virus-induced lung injuries. These are presented along with consideration of current clinical investigations.",2020,,The European respiratory journal,,,,,10.1183/13993003.00858-2020,45145,#42121,Khoury 2020,,,42121,09-04-20
"First impact on services and their preparation. ""Instant paper from the field"" on rehabilitation answers to the Covid-19 emergency","Boldrini, Paolo; Kiekens, Carlotte; Bargellesi, Stefano; Brianti, Rodolfo; Galeri, Silvia; Lucca, Lucia; Montis, Andrea; Posteraro, Federico; Scarponi, Federico; Straudi, Sofia; Negrini, Stefano","This paper reports the immediate impact of the epidemic on rehabilitation services in Italy, the first country in Europe hit by Covid-19. In a country with almost 5,000 Physical and Rehabilitation Medicine physicians, the webinar had 230 live viewers (4.5%), and more than 8,900 individual visualizations of the recorded version. The overall inadequate preparation of the rehabilitation system to face a sudden epidemic was clear, and similar to that of the acute services. The original idea of confining the Covid-19 cases to some areas of rehabilitation wards and/or hospitals, preserving others, proved not to be feasible. Continuous reorganization and adaptation were required due to the rapid changes. Overall, rehabilitation needs had to surrender to the more acute emergency, with total conversion of beds, wards and even hospitals. The quarantine needs heavily involved also outpatient services that were mostly closed. Rehabilitation professionals needed support, but also acted properly, again similarly to what happened in the acute wards. The typical needs of rehabilitation, such as human and physical contacts, but also social interactions including patient, team, family and caregivers, appeared clearly in the current unavoidable need of being suppressed. These notes could serve the preparation of other services worldwide.",2020,,European journal of physical and rehabilitation medicine,,,,,10.23736/S1973-9087.20.06303-0,45125,#42122,Boldrini 2020,,,42122,09-04-20
A family cluster of severe acute respiratory syndrome coronavirus 2 infections,"Gao, Xuesong; Yuan, Zheng; Yang, Di; Li, Hongjie; Zhang, Yijin; Gao, Ping; Liu, Xiaomin; Zhao, Wenshan; Xiao, Te; Duan, Xuefei","Clinical and epidemiological knowledge of 2019 novel coronavirus disease (COVID-19) is limited. We reported a family cluster of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) cases in Beijing, China. This family comprised three laboratory confirmed cases with clinical symptoms. All three patients had close contact with a relative from Wuhan, Hubei Province. Throat swab samples were all positive for SARS-CoV-2 using real-time reverse transcriptase-polymerase chain reaction assays. Chest computerized tomography revealed ground-glass opacities and consolidation. SARS-CoV-2 infections tend to clusters. Physicians should be aware of contact history so that infected patients can be identified promptly and further spreading prevented.",2020,,European Journal of Clinical Microbiology & Infectious Diseases 2020,,,01-May,,10.1007/S10096-020-03880-1,45213,#42123,Gao 2020,,,42123,09-04-20
"Ultrarapid diagnosis, microscope imaging, genome sequencing, and culture isolation of SARS-CoV-2","Colson, Philippe; Lagier, Jean-Christophe; Baudoin, Jean-Pierre; Khalil, Jacques Bou; Scola, Bernard La; Raoult, Didier",,2020,,European Journal of Clinical Microbiology & Infectious Diseases 2020,,,01-Mar,,10.1007/S10096-020-03869-W,45212,#42124,Colson 2020,,,42124,09-04-20
Acute myocarditis presenting as a reverse Tako-Tsubo syndrome in a patient with SARS-CoV-2 respiratory infection,"Sala, Simone; Peretto, Giovanni; Gramegna, Mario; Palmisano, Anna; Villatore, Andrea; Vignale, Davide; De Cobelli, Francesco; Tresoldi, Moreno; Cappelletti, Alberto Maria; Basso, Cristina; Godino, Cosmo; Esposito, Antonio",,2020,,European Heart Journal,,,,,10.1093/eurheartj/ehaa286,45089,#42125,Sala 2020,,,42125,09-04-20
CAPACITY-COVID: a European registry to determine the role of cardiovascular disease in the COVID-19 pandemic,"Linschoten and, Marijke; Asselbergs, Folkert W.",,2020,,European Heart Journal,,,,,10.1093/eurheartj/ehaa280,45094,#42126,Linschotenand 2020,,,42126,09-04-20
Lessons Never Learned: Crisis and gender-based violence,"John, Neetu; Casey, Sara; Carino, Giselle; McGovern, Terry","Abstract The COVID-19 pandemic exposes underlying inequalities in our socio-economic and health systems, such as gender-based violence (GBV). In emergencies, particularly ones that involve quarantine, GBV often increases. Policymakers must utilize community expertise, technology and existing global guidelines to disrupt these trends in the early stages of the COVID-19 epidemic. Gender norms and roles relegating women to the realm of care work puts them on the frontlines in an epidemic, while often excluding them from developing the response. It is critical to value women?s roles in society and include their voices in the decision-making process to avoid unintended consequences and ensure a comprehensive response that caters to the needs of the most vulnerable groups.",2020,,Developing World Bioethics,n/a,n/a,,,10.1111/dewb.12261,45171,#42127,John 2020,,,42127,09-04-20
Die Anwendung der Traditionellen Chinesischen Medizin (TCM)/Akupunktur in der Therapie und Prävention von SARS-CoV-2-Infektionen,"Fleckenstein, Johannes; Füzeki, Eszter; Banzer, Winfried","Gegenwärtig kursieren zahlreiche Vorschläge zur potenziellen Wirksamkeit von Traditioneller Chinesischer Medizin (TCM)/Akupunktur in der Therapie von SARS-CoV-2-Infektionen und assoziierten Symptomen. Stand dieser Überlegungen sind insbesondere molekularvirologische, aber auch klinische Untersuchungen aus der SARS-Epidemie 2002/2003. Ein Wirksamkeitsnachweis von chinesischen Arzneimitteln mit antiviralem Potenzial in Bezug auf SARS-CoV‑2 steht größtenteils aus. Klinische Daten stützen sich nahezu ausschließlich auf Studien vor Beginn der Coronapandemie. Gegenwärtig finden sich nur international publizierte Fallberichte sowie in China berichtete Beobachtungsstudien. Vielversprechend ist eine große Zahl registrierter prospektiver Studien, die gegenwärtig durchgeführt werden. Die Evidenzlage für die nichtpharmakologischen Therapiesäulen der TCM ist sehr schwach. Auf Basis der Datenlage ist eine Kombination westlicher und TCM-Maßnahmen in der westlichen Welt nur nach Ausschöpfung der konventionellen Maßnahmen gerechtfertigt.",2020,,Deutsche Zeitschrift für Akupunktur,,,01-Apr,,10.1007/s42212-020-00271-7,45214,#42128,Fleckenstein 2020,,,42128,09-04-20
Effects of Social Grooming on Incivility in COVID-19,"Kim, Bumsoo",This study implements a computer-assisted content analysis to identify which social grooming factors reduce social media users' incivility when commenting or posting about the COVID-19 situation in...,2020,,"Cyberpsychology, Behavior, and Social Networking",,,cyber.2020.0201-cyber.2020.0201,,10.1089/cyber.2020.0201,45202,#42129,Kim 2020,,,42129,09-04-20
Research disruptions and recovery,"Lee, Matthew; Brown, Steven; Moug, Susan; Vimalachandran, Dale; Acheson, Austin","Abstract With the pandemic of COVID-19, the routine work of surgeons has been reduced to release resources to critical care and other functions. This is necessary and right, in order to protect the health of our communities now. As a consequence, many of us who undertake clinical research have seen our work suspended. With a rich portfolio of colorectal research, this includes studies such as ROSSINI2, PITSTOP, & MASH, and has delayed the start of other important studies such as ELF 2 and Damascus]. When we return to something akin to normality, we shall be looking to re-establish the studies in a timely manner. Funders have generally been flexible with regards to the disruption and have provided guidance on how the disruption might be managed1. There is no doubt that they may be asked to provide additional support for studies in progress, which may impact future funding opportunities.",2020,,Colorectal Disease,n/a,n/a,,,10.1111/codi.15069,45169,#42132,Lee 2020,,,42132,09-04-20
Hydroxychloroquine for treatment of SARS-CoV-2 infection? Improving our confidence in a model-based approach to dose selection,"Arnold, Samuel L. M.; Buckner, Frederick","Abstract In less than six months, COVID-19 has spread from a marketplace in Wuhan, China to over 150 countries and territories of the world. Therapeutics are desperately needed to reduce the morbidity and mortality of this pandemic disease. It has been reported that hydroxychloroquine (HCQ) is active against SARS-CoV-2 in vitro, and this finding was quickly supported by an open label non-randomized clinical trial that provided the first published clinical evidence HCQ may be a treatment option.",2020,,Clinical and Translational Science,n/a,n/a,,,10.1111/cts.12797,45170,#42133,Arnold 2020,,,42133,09-04-20
Angiotensin Converting Enzyme 2: SARS-CoV-2 Receptor and Regulator of the Renin-Angiotensin System,"Gheblawi, Mahmoud; Wang, Kaiming; Viveiros, Anissa; Nguyen, Quynh; Zhong, Jiu-Chang; Turner, Anthony J.; Raizada, Mohan K.; Grant, Maria B.; Oudit, Gavin Y.","Angiotensin-converting enzyme (ACE2) has a multiplicity of physiological roles that revolve around its trivalent function: a negative regulator of the renin-angiotensin system (RAS), facilitator of amino acid transport, and the SARS-CoV and SARS-CoV-2 receptor. ACE2 is widely expressed, including, in the lungs, cardiovascular system, gut, kidneys, central nervous system, and adipose tissue. ACE2 has recently been identified as the SARS-CoV-2 receptor, the infective agent responsible for COVID-19, providing a critical link between immunity, inflammation, ACE2, and cardiovascular disease. Although sharing a close evolutionary relationship with SARS-CoV, the receptor-binding domain of SARS-CoV-2 differs in several key amino acid residues, allowing for stronger binding affinity with the human ACE2 receptor, which may account for the greater pathogenicity of SARS-CoV-2. The loss of ACE2 function following binding by SARS-CoV-2 is driven by endocytosis and activation of proteolytic cleavage and processing. The ACE2 system is a critical protective pathway against heart failure with reduced and preserved ejection fraction including, myocardial infarction and hypertension, and against lung disease and diabetes. The control of gut dysbiosis and vascular permeability by ACE2 has emerged as an essential mechanism of pulmonary hypertension and diabetic cardiovascular complications. Recombinant ACE2, gene-delivery of Ace2, Ang 1-7 analogs, and Mas receptor agonists enhance ACE2 action and serve as potential therapies for disease conditions associated with an activated RAS. Recombinant human ACE2 has completed clinical trials and efficiently lowered or increased plasma angiotensin II and angiotensin 1-7 levels, respectively. Our review summarizes the progress over the past 20 years, highlighting the critical role of ACE2 as the novel SARS-CoV-2 receptor and as the negative regulator of the RAS, together with implications for the COVID-19 pandemic and associated cardiovascular diseases.",2020,,Circulation research,,,,,10.1161/CIRCRESAHA.120.317015,45124,#42135,Gheblawi 2020,,,42135,09-04-20
SARS-CoV-2 infects T lymphocytes through its spike protein-mediated membrane fusion,"Wang, Xinling; Xu, Wei; Hu, Gaowei; Xia, Shuai; Sun, Zhiping; Liu, Zezhong; Xie, Youhua; Zhang, Rong; Jiang, Shibo; Lu, Lu",,2020,,Cellular & molecular immunology,,,,,10.1038/s41423-020-0424-9,45140,#42136,Wang 2020,,,42136,09-04-20
Exploring the Relevance of Senotherapeutics for the Current SARS-CoV-2 Emergency and Similar Future Global Health Threats,"Malavolta, Marco; Giacconi, Robertina; Brunetti, Dario; Provinciali, Mauro; Maggi, Fabrizio","The higher death rate caused by COVID-19 in older people, especially those with comorbidities, is a challenge for biomedical aging research. Here we explore the idea that an exacerbated inflammatory response, in particular that mediated by IL-6, may drive the deleterious consequences of the infection. Data shows that other RNA viruses, such as influenza virus, can display enhanced replication efficiency in senescent cells, suggesting that the accumulation of senescent cells with aging and age-related diseases may play a role in this phenomenon. However, at present, we are completely unaware of the response to SARS-CoV and SARS-COV-2 occurring in senescent cells. We deem that this is a priority area of research because it could lead to the development of several therapeutic strategies based on senotherapeutics or prevent unsuccessful attempts. Two of these senotherapeutics, azithromycin and ruxolitinib, are currently undergoing testing for their efficacy in treating COVID-19. The potential of these strategies is not only for ameliorating the consequences of the current emergence of SARS-CoV-2, but also for the future emergence of new viruses or mutated ones for which we are completely unprepared and for which no vaccines are available.",2020,,"Cells 2020, Vol. 9, Page 909",9,4,909-909,,10.3390/CELLS9040909,45235,#42137,Malavolta 2020,,,42137,09-04-20
"What is required to prevent a second major outbreak of SARS-CoV-2 upon lifting the quarantine of Wuhan city, China","Zhang, Lei; Shen, Mingwang; Ma, Xiaomeng; Su, Shu; Gong, Wenfeng; Wang, Jing; Tao, Yusha; Zou, Zhuoru; Zhao, Rui; Lau, Joseph; Li, Wei; Liu, Feng; Ye, Kai; Wang, Youfa; Zhuang, Guihua; Fairley, Christopher K.",,2020,,Cell Press,,,,,10.1016/j.xinn.2020.04.004,45021,#42138,Zhang 2020,,,42138,09-04-20
Differentiating COVID-19 response strategies,"Lia, Huipeng; Zhang, Lei; Marley, Gifty; Tang, Weiming",,2020,,Cell Press,,,,,10.1016/j.xinn.2020.04.003,45023,#42139,Lia 2020,,,42139,09-04-20
Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,"Jiaqiang, Liao; Shibing, Fan; Jing, Chen; Jianglin, Wu; Shunqing; Xu; Yuming, Guo; Chunhui, Li; Xianxiang, Zhang; Chuansha; Wu; Huaming, Mou; Chenxi, Song; Feng, Li; Guicheng, Wu; Jingjing, Zhang; Lian, Guo; Huawen, Liu; Jinglong, Lv; Lixin, Xu; Chunhui, Lang","Adolescents and young adults are more involved in frequent socialactivity, overseas studying, and international working and traveling, which might make them susceptible to worldwide spread of the coronavirus disease 2019 (COVID-19). ⚫ Adolescent and younger patients of COVID-19 had a median incubation period of 8 days and 50% of their family contacts could develop illness within 1.4 days after exposure. ⚫ Three asymptomatic patients of COVID-19 have infected their family contacts. ⚫ Although most of the adolescent and young adult patients of COVID-19 have better prognosis outcomes after treatment, few of them showed severe clinical signs and symptoms such as bacterial pneumonia changes by Chest",2020,,Cell Press,,,,,10.1016/j.xinn.2020.04.001,45022,#42140,Jiaqiang 2020,,,42140,09-04-20
